calendar_year,event_name,event_level,city,country,start_date,end_date
2026,RIYADH SEASON P1,P1,Riyadh,Saudi Arabia,2026-02-09,2026-02-14
2026,GIJON P2,P2,Gijón,Spain,2026-03-02,2026-03-08
2026,CANCUN P2,P2,Cancún,Mexico,2026-03-16,2026-03-22
2026,MIAMI P1,P1,Miami,United States,2026-03-23,2026-03-29
2026,QATAR MAJOR,Major,Doha,Qatar,2026-04-06,2026-04-11
2026,NEWGIZA P2,P2,New Giza,Egypt,2026-04-13,2026-04-18
2026,BRUSSELS P2,P2,Brussels,Belgium,2026-04-20,2026-04-26
2026,BUENOS AIRES P1,P1,Buenos Aires,Argentina,2026-05-11,2026-05-17
2026,ASUNCION P2,P2,Asunción,Paraguay,2026-05-18,2026-05-24
2026,ITALY MAJOR,Major,Rome,Italy,2026-06-01,2026-06-07
2026,VALENCIA P1,P1,Valencia,Spain,2026-06-08,2026-06-14
2026,VALLADOLID P2,P2,Valladolid,Spain,2026-06-22,2026-06-28
2026,BORDEAUX P2,P2,Bordeaux,France,2026-06-29,2026-07-05
2026,MALAGA P1,P1,Malaga,Spain,2026-07-13,2026-07-19
2026,PRETORIA P2,P2,Pretoria,South Africa,2026-07-27,2026-08-02
2026,LONDON P1,P1,London,United Kingdom,2026-08-03,2026-08-09
2026,MADRID P1,P1,Madrid,Spain,2026-08-31,2026-09-06
2026,PARIS MAJOR,Major,Paris,France,2026-09-07,2026-09-13
2026,EUROPE P2 (TBC),P2,TBC,Europe,2026-09-14,2026-09-20
2026,ROTTERDAM P2,P2,Rotterdam,Netherlands,2026-09-28,2026-10-04
2026,GERMANY P2,P2,TBC,Germany,2026-10-05,2026-10-11
2026,MILANO P1,P1,Milano,Italy,2026-10-12,2026-10-18
2026,KUWAIT P1,P1,Kuwait City,Kuwait,2026-10-26,2026-10-31
2026,DUBAI P1,P1,Dubai,United Arab Emirates,2026-11-09,2026-11-15
2026,MEXICO MAJOR,Major,TBC,Mexico,2026-11-23,2026-11-29
2026,BARCELONA FINALS,Finals,Barcelona,Spain,2026-12-07,2026-12-13
