Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
TAPIA;Agustin;ARG;COELLO;Arturo;ESP;1;Final;67(4) 63 76(4);Victoire;14/12/2025;PREMIER PADEL FINALS;Barcelona;600000;1000
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Final;67(4) 63 76(4);Defaite;14/12/2025;PREMIER PADEL FINALS;Barcelona;600000;600
DI NENNO;Martin;ARG;STUPACZUK;Franco;ARG;;3rd Place;76(2) 63;Victoire;14/12/2025;PREMIER PADEL FINALS;Barcelona;600000;360
NAVARRO;Francisco;ESP;SANZ;Jon;ESP;;3rd Place;76(2) 63;Defaite;14/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
TAPIA;Agustin;ARG;COELLO;Arturo;ESP;1;Semifinals;75 62;Victoire;13/12/2025;PREMIER PADEL FINALS;Barcelona;600000;360
DI NENNO;Martin;ARG;STUPACZUK;Franco;ARG;;Semifinals;75 62;Defaite;13/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Semifinals;62 64;Victoire;13/12/2025;PREMIER PADEL FINALS;Barcelona;600000;360
NAVARRO;Francisco;ESP;SANZ;Jon;ESP;;Semifinals;62 64;Defaite;13/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
TAPIA;Agustin;ARG;COELLO;Arturo;ESP;1;Quarterfinals;62 62;Victoire;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
BERGAMINI;Lucas;BRA;LEAL;Javier;ESP;;Quarterfinals;62 62;Defaite;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;90
STUPACZUK;Franco;ARG;DI NENNO;Martin;ARG;;Quarterfinals;62 64;Victoire;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
LEBRON;Juan;ESP;ROMAN AUGSBURGUER;Leandro;ARG;3;Quarterfinals;62 64;Defaite;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;90
NIETO RUIZ;Jorge;ESP;YANGUAS;Miguel;ESP;4;Quarterfinals;62 76(2);Defaite;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;90
NAVARRO;Francisco;ESP;SANZ;Jon;ESP;;Quarterfinals;62 76(2);Victoire;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
GALAN;Alejandro;ESP;CHINGOTTO;Federico;ARG;2;Quarterfinals;60 64;Victoire;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;180
GONZALEZ;Jeronimo;ESP;GUERRERO;Francisco;ESP;;Quarterfinals;60 64;Defaite;12/12/2025;PREMIER PADEL FINALS;Barcelona;600000;90
